binary_cross_entropy,kl_divergence,train_loss,epoch,step
255.37713623046875,3.5055878162384033,258.8827209472656,49,49
183.6604461669922,8.710840225219727,192.3712921142578,99,99
176.56541442871094,7.961781978607178,184.52719116210938,149,149
175.16009521484375,7.266271114349365,182.42636108398438,199,199
174.3660125732422,6.940895080566406,181.30691528320312,249,249
173.26345825195312,6.625349998474121,179.88880920410156,299,299
172.7069854736328,6.421436309814453,179.12841796875,349,349
171.84608459472656,6.351617336273193,178.1977081298828,399,399
171.06829833984375,6.290110111236572,177.35841369628906,449,449
170.28968811035156,6.268874168395996,176.55856323242188,499,499
169.70301818847656,6.196010589599609,175.89903259277344,549,549
169.24880981445312,6.149722576141357,175.39852905273438,599,599
168.80133056640625,6.1317853927612305,174.93312072753906,649,649
168.30789184570312,6.098360061645508,174.40625,699,699
167.77415466308594,6.182671070098877,173.9568328857422,749,749
167.3965301513672,6.0959367752075195,173.49246215820312,799,799
167.27130126953125,6.095445156097412,173.3667449951172,849,849
166.82582092285156,6.018443584442139,172.84426879882812,899,899
166.77203369140625,6.002596855163574,172.77462768554688,949,949
166.19232177734375,6.012597560882568,172.20492553710938,999,999
165.78431701660156,5.9659342765808105,171.750244140625,1049,1049
165.3866424560547,6.0070366859436035,171.3936767578125,1099,1099
165.1641082763672,6.009912014007568,171.1740264892578,1149,1149
165.04409790039062,5.982521057128906,171.026611328125,1199,1199
164.8264923095703,6.000434875488281,170.82693481445312,1249,1249
164.61868286132812,6.04848575592041,170.66717529296875,1299,1299
164.5068359375,5.99282169342041,170.49966430664062,1349,1349
164.21450805664062,5.998237609863281,170.21273803710938,1399,1399
164.18687438964844,5.889620780944824,170.0764923095703,1449,1449
163.8900909423828,5.8986921310424805,169.78878784179688,1499,1499
163.8756103515625,5.971807956695557,169.847412109375,1549,1549
